/usr/sbin/mysqld, Version: 8.0.27 (MySQL Community Server - GPL). started with:
Tcp port: 3306  Unix socket: /var/run/mysqld/mysqld.sock
Time                 Id Command    Argument
2021-12-30T05:40:48.842245Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.842673Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("50","50","25900")
2021-12-30T05:40:48.848458Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.848932Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("51","51","12922")
2021-12-30T05:40:48.851959Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.852423Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("52","52","43042")
2021-12-30T05:40:48.855523Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.856040Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("53","53","37192")
2021-12-30T05:40:48.859142Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.859642Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("54","54","52727")
2021-12-30T05:40:48.893532Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.894094Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("55","55","87582")
2021-12-30T05:40:48.899550Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.900087Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("56","56","24856")
2021-12-30T05:40:48.938443Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.939178Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("57","57","64181")
2021-12-30T05:40:48.942167Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.942745Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("58","58","41894")
2021-12-30T05:40:48.958769Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.959249Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("59","59","40733")
2021-12-30T05:40:48.966203Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.966670Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("60","60","20601")
2021-12-30T05:40:48.988858Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.989379Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("61","61","66835")
2021-12-30T05:40:48.995257Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.995769Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("62","62","326")
2021-12-30T05:40:49.046821Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.047311Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("63","63","96178")
2021-12-30T05:40:49.064197Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.064675Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("64","64","3627")
2021-12-30T05:40:49.089364Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.089890Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("65","65","78794")
2021-12-30T05:40:49.092527Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.093428Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("66","66","24505")
2021-12-30T05:40:49.096762Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.097227Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("67","67","28470")
2021-12-30T05:40:49.100743Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.101208Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("68","68","94755")
2021-12-30T05:40:49.149638Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.150119Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("69","69","48330")
2021-12-30T05:40:49.153553Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.154022Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("70","70","53939")
2021-12-30T05:40:49.158145Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.158648Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("71","71","47490")
2021-12-30T05:40:49.175867Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.176390Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("72","72","81515")
2021-12-30T05:40:49.202770Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.203263Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("73","73","84088")
2021-12-30T05:40:49.206540Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.207023Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("74","74","58803")
2021-12-30T05:40:49.210388Z	 8270 Query	SELECT @@session.transaction_read_only
